x	y	std_resid	colors	predicted	parallel_upper	parallel_lower	Outlier_lower	Outlier_upper
831.857306034336	654.075240735271	-2.09288674972112	#4C62AB	1247.14457463022	1388.83148959921	1105.45765966122	680.396914754237	1813.8922345062
930.946753155016	1188.42912097929	-0.759167928793307	grey	1403.55744452754	1545.24435949653	1261.87052955854	836.809784651556	1970.30510440352
1467.61249424474	2197.82269325177	-0.186547168339588	#B4EEB4	2250.68527880825	2392.37219377724	2108.99836383925	1683.93761893227	2817.43293868423
1021.15251742737	1505.29374956971	-0.143462985145823	#B4EEB4	1545.94740512482	1687.63432009382	1404.26049015583	979.19974524884	2112.6950650008
1038.78632054828	1048.31092587234	-1.85434014567375	grey	1573.78239495968	1715.46930992868	1432.09547999069	1007.0347350837	2140.53005483566
1514.51949606498	2479.89393524135	0.54756598382157	grey	2324.72806526207	2466.41498023106	2183.04115029307	1757.98040538609	2891.47572513805
1138.27486179676	1757.35743989218	0.0936296913687595	#B4EEB4	1730.8252356531	1872.5121506221	1589.13832068411	1164.07757577712	2297.57289552908
620.48162961804	1413.96391905673	1.76613425681887	grey	913.487690517277	1055.17460548627	771.800775548282	346.740030641297	1480.23535039326
793.944144431942	1327.95586425813	0.496366524767731	#B4EEB4	1187.29858108169	1328.98549605069	1045.6116661127	620.55092120571	1754.04624095767
866.301408970013	1210.06025166262	-0.322734111376667	#B4EEB4	1301.51465285506	1443.20156782406	1159.82773788607	734.76699297908	1868.26231273104
1367.22453923184	2610.31503823938	1.8282998344528	grey	2092.22271187549	2233.90962684449	1950.5357969065	1525.47505199951	2658.97037175147
1107.94414811721	2228.36142695892	1.92471293956815	grey	1682.94814974228	1824.63506471128	1541.26123477329	1116.2004898663	2249.69580961826
1120.23143517822	1436.60478950929	-0.937767841659344	grey	1702.34365439298	1844.03056936197	1560.65673942398	1135.595994517	2269.09131426896
1033.20481478354	1643.61361336639	0.277519047113109	#B4EEB4	1564.97197810521	1706.6588930742	1423.28506313621	998.224318229225	2131.71963798119
833.247659573778	1207.62210563424	-0.14721593930999	#B4EEB4	1249.33925018443	1391.02616515342	1107.65233521543	682.591590308446	1816.08691006041
1536.07394104092	2341.52114087219	-0.0608053835613702	#B4EEB4	2358.75179529282	2500.43871026182	2217.06488032383	1792.00413541684	2925.4994551688
1149.35514346877	1769.54126091692	0.0749038144695511	#B4EEB4	1748.31548013372	1890.00239510271	1606.62856516472	1181.56782025774	2315.0631400097
410.014853011109	362.642186942852	-0.771501445590819	grey	581.265506382619	722.952421351614	439.578591413624	14.5178465066382	1148.0131662586
1210.40677046911	1872.72807175217	0.0989593462806102	#B4EEB4	1844.68558278847	1986.37249775747	1702.99866781948	1277.93792291249	2411.43324266446
858.16257768162	1637.09333915079	1.22956253987715	grey	1288.66749307752	1430.35440804651	1146.98057810852	721.919833201538	1855.4151529535
679.652888203947	986.661331478959	-0.0713837858096353	#B4EEB4	1006.88962825931	1148.5765432283	865.202713290314	440.141968383328	1573.63728813529
